,momentum_120_20,momentum_60_10,vol_fade_60d,gk_vol_level_5d,volume_shock_neg,oi_trend_5d,ret_skew_60d,trend_efficiency_20d,overnight_intraday_spread,range_breakout_20d,pv_corr_20d,down_up_vol_ratio_20d,ret_autocorr_lag2_60d,amihud_illiq_20d,momentum_252_21,ret_kurt_60d,oi_accel_3d,overnight_gap_mean_5d,volume_rel_to_60max_20d,hl_range_pct_skew_20d,carry_ma_dev_252,tsm_reversal_5d,vol_scaled_mom_60_10,oi_price_agree_20d,williams_pct_r_5d,body_streak_10d,atr_norm_20d
A0,-0.07160023275223078,0.6437751842765443,0.0002989531934812308,0.12882764726338106,0.007152274771734111,0.4537310705810263,-0.3856976476551817,0.0208608788204701,-0.36115002795506834,0.508069078381381,0.6876521512763037,0.056848636844343436,0.16839336676522487,-0.43391491807337323,-0.25020752933100016,0.14330483060095298,-0.923160735888273,-0.09481337031552724,-0.05142067718760201,-0.023330536556413168,0.2970031434992695,0.5422540847777019,0.6482520638811362,-0.4134441249704429,0.5045256996036247,-0.5612937657869795,-0.19908437976753635
AG0,-0.5835059990097539,-0.2453301760550998,-0.02952738673208637,-0.15197803403434043,0.06286984395862653,-0.0567648895439132,0.4757115639238894,0.5224005129367133,-0.09910655494387362,0.14639125580933,-0.29237711948168443,0.8445145666782762,0.15127918042921018,0.16344949467897787,-0.6011593532468096,0.80877741419578,0.7122703470946103,0.05092808239218539,0.46487022080631507,-0.08052449915828841,-0.39464738231535457,0.10456658917113931,-0.1593483289912909,0.36585682018910287,0.33550911945775114,0.2343608651965916,-0.35439599376145653
AL0,0.5140596176081011,0.25258441430776607,0.6389371850602384,0.3797810318452749,-0.8849081439667216,-0.11276794935295315,0.378388876589311,-0.3145191754414153,0.30729617879981974,0.32938780729666794,-0.31404836386805446,1.4804523108802425,0.42438372742472624,0.5607550215913114,0.42542347555303733,0.3806345823493225,0.20162099963935737,-0.06597008111773549,0.15634831856994533,-0.7459883130379451,-0.08237225173441245,-0.03847395379180868,0.1375799500343618,0.4822617610340266,0.12854778353126023,-0.35219892482280835,0.4219390495974867
AU0,-0.4407895980045818,0.11913144027568924,0.02844641983805205,-0.06134166164403424,-0.11869217375369165,-0.4721514374093088,0.36736486770544025,0.37964248280792223,0.05551729510549988,0.05528629419965012,-0.05531723625803829,-2.460908730161542,0.25774482271513116,-0.31307416255999726,-0.3315652624303461,0.26401826567956044,0.0015611085841589082,0.1450536668558502,0.004859369415031703,0.27423016007590223,0.09742575551975419,-0.09205802855083213,0.13031575108447044,0.31956274748693586,0.44667629901335854,0.3710691442934894,-0.05055069432947818
BU0,0.27715622471315465,0.04472503767122321,-0.3959890457911012,0.24816290913352837,0.1405809573918624,0.35703872671722503,0.31285012176965665,0.12435200798801756,0.2113153990778667,0.5030554742608739,0.1568591498289565,-0.46526046184966974,0.41509942127041505,0.5289151370566257,-0.14520124618403035,-0.10716602347731903,-0.6328285357533298,0.9352794733635504,-0.37626460686045277,0.033905535744153906,-0.17096774609605514,0.34379197587396176,-0.02351923273982652,-0.00019022798362638914,0.30238191793524727,0.6370332124693605,0.18849472565773925
C0,-0.585519125332786,-0.35721804333984414,0.6123430120637984,0.3011769901388772,-0.12387814151319798,0.014564825156903292,0.04942410480429937,-0.1848524144379184,0.07157237087632297,0.34909251603618263,0.15805879474231535,,-0.3623336504441921,0.03779638624066868,-0.665154849384235,0.7687426615860478,-0.4412304462452982,-0.05080342148488009,-0.6886835263247596,-0.4700412907312493,-0.4210377400066634,0.31788845955985245,-0.43335546239921113,0.5325276880257268,0.4516135006739123,0.07849563651783673,0.3074452213831778
CF0,-0.20488462154423517,-0.4777789779494953,0.31173659430467654,0.17196754474216894,-0.17830581246879174,0.20539055563175077,0.7749666022334621,-0.15014013875564206,0.39000975165705654,0.15312156748981612,0.10381435412729853,1.3493875409271914,-0.10727494023182327,0.2534043780168314,-0.3311454915188494,-0.4759556368569366,-0.3876875007471531,0.5410979881734015,0.03009162710870185,0.19808298702012564,-0.7315963733579803,0.6103769362372516,-0.37902933229538877,-0.27259248650674145,0.0994671150001564,0.09828168694869557,0.5576255297615246
CS0,-0.7426484821742677,0.15547004634194425,0.2222136870970753,0.04356161042333249,-0.028507357364351248,0.19024068901227595,-0.09477738146713457,0.4451391984342664,0.15612270261826056,-0.278037457013592,0.4169015480688441,2.1076263092061254,-0.5991256717322848,-0.6518451670844478,-0.5873159141119437,0.05779663927755338,0.08608588670618415,0.434299454611978,-0.3213958749171627,-0.3908014098029455,0.057878906612156215,0.3277491798140592,0.142713316190226,-0.05637340108935569,0.05191755167356692,0.665379693675398,0.20732603026013569
CU0,-0.09782458117052827,-0.3107783498008178,-0.07586301204182953,0.5970705841747646,-0.49306666638306873,0.2873544100584483,0.4221592629436454,-0.03518902678913954,0.5229782350153068,0.39496046439088905,-0.5444085191771639,0.42684961753071127,-0.1840792552724725,0.45196153656745,-0.27507953513450756,0.5504368158534108,0.020716556904238452,0.30289361580434365,0.08463524902195815,-0.01521217614546602,-0.3589775905900577,0.210222198719042,-0.2912306046597534,-0.010500515104534413,0.40708008385986816,-0.00015909101506130153,0.3703448761502615
EG0,0.3541004490585696,0.36445742149265414,-0.2221257758499999,-0.17257454066488045,0.15190407243011195,-0.465108447277439,-0.055302507040959764,0.3861840176035005,0.46368977611057527,0.256064369733205,0.34635671401838397,2.0909662650408403,0.5234007450405784,0.06052462418081891,0.11974541610520713,0.41795739507136676,-0.2004696593856703,0.7244510841166087,-0.1767678450884532,-0.1849678166939371,-0.060056839122967755,0.2921480181672475,0.36958250325811715,0.2477370831196017,-0.3599282672255551,-0.4203373333099418,0.057661732717032364
